ticker,name,sector,index,market_cap,price,avg_dollar_volume,exchange,quote_type
GM,General Motors,Consumer Discretionary,S&P 500,78470217728,86.76,454917384.0,NYQ,EQUITY
GPC,Genuine Parts Company,Consumer Discretionary,S&P 500,18474586112,134.01,158167982.7,NYQ,EQUITY
GILD,Gilead Sciences,Health Care,S&P 500,168472707072,135.87,1055739791.4,NMS,EQUITY
GPN,Global Payments,Financials,S&P 500,23426664448,88.53,311873484.0,NYQ,EQUITY
GL,Globe Life,Financials,S&P 500,13813779456,177.91,110748975.0,NYQ,EQUITY
GDDY,GoDaddy,Information Technology,S&P 500,11628791808,91.82,245643291.39999998,NYQ,EQUITY
GS,Goldman Sachs,Financials,S&P 500,302005878784,1037.21,1912013658.2,NYQ,EQUITY
HAL,Halliburton,Energy,S&P 500,27810392064,33.29,335554211.7,NYQ,EQUITY
HIG,Hartford (The),Financials,S&P 500,37676539904,137.44,205023371.2,NYQ,EQUITY
HAS,Hasbro,Consumer Discretionary,S&P 500,13383708672,94.89,173931472.2,NMS,EQUITY
HCA,HCA Healthcare,Health Care,S&P 500,91972567040,414.59,477164068.7,NYQ,EQUITY
DOC,Healthpeak Properties,Real Estate,S&P 500,14646850560,20.66,131837864.6,NYQ,EQUITY
HSIC,Henry Schein,Health Care,S&P 500,10336806912,90.74,130987727.0,NMS,EQUITY
HSY,Hershey Company (The),Consumer Staples,S&P 500,37016535040,184.23,275888109.59999996,NYQ,EQUITY
HPE,Hewlett Packard Enterprise,Information Technology,S&P 500,77849927680,58.79,1046996401.1,NYQ,EQUITY
HLT,Hilton Worldwide,Consumer Discretionary,S&P 500,72590188544,322.53,672129942.9,NYQ,EQUITY
HD,Home Depot (The),Consumer Discretionary,S&P 500,342439755776,343.43,1284383554.1000001,NYQ,EQUITY
HONA,Honeywell Aerospace,Industrials,S&P 500,53182488576,167.8,955379368.0000001,NMS,EQUITY
HON,Honeywell Technologies,Industrials,S&P 500,74588659712,235.34,812195994.4,NMS,EQUITY
HRL,Hormel Foods,Consumer Staples,S&P 500,13421431808,24.39,80124076.8,NYQ,EQUITY
HST,Host Hotels & Resorts,Real Estate,S&P 500,15839762432,22.8,265737420.0,NMS,EQUITY
HWM,Howmet Aerospace,Industrials,S&P 500,112314441728,281.63,599615616.7,NYQ,EQUITY
HPQ,HP Inc.,Information Technology,S&P 500,26777225216,29.28,424119921.6,NYQ,EQUITY
HUBB,Hubbell Incorporated,Industrials,S&P 500,27102547968,512.9,295528363.9,NYQ,EQUITY
HUM,Humana,Health Care,S&P 500,46690824192,388.83,551399823.0,NYQ,EQUITY
HBAN,Huntington Bancshares,Financials,S&P 500,36084609024,17.86,428695187.4,NMS,EQUITY
HII,Huntington Ingalls Industries,Industrials,S&P 500,12877422592,326.8,197040792.0,NYQ,EQUITY
IBM,IBM,Information Technology,S&P 500,222324867072,235.98,1569635128.8,NYQ,EQUITY
IEX,IDEX Corporation,Industrials,S&P 500,17731108864,240.52,167587120.4,NYQ,EQUITY
IDXX,Idexx Laboratories,Health Care,S&P 500,45009063936,570.58,434154322.00000006,NMS,EQUITY
ITW,Illinois Tool Works,Industrials,S&P 500,83306848256,292.51,344606031.0,NYQ,EQUITY
INCY,Incyte,Health Care,S&P 500,24479805440,120.77,207345182.2,NMS,EQUITY
IR,Ingersoll Rand,Industrials,S&P 500,32886831104,84.76,403311812.8,NYQ,EQUITY
PODD,Insulet Corporation,Health Care,S&P 500,10060520448,145.06,319567180.0,NMS,EQUITY
INTC,Intel,Information Technology,S&P 500,530444419072,100.95,11487970689.0,NMS,EQUITY
IBKR,Interactive Brokers,Financials,S&P 500,156171747328,91.66,472928936.0,NMS,EQUITY
ICE,Intercontinental Exchange,Financials,S&P 500,84955832320,151.33,694627399.5,NYQ,EQUITY
IFF,International Flavors & Fragrances,Materials,S&P 500,21407195136,83.85,159853317.0,NYQ,EQUITY
IP,International Paper,Materials,S&P 500,21786505216,41.14,192902580.2,NYQ,EQUITY
INTU,Intuit,Information Technology,S&P 500,91555561472,334.71,1106223244.2,NMS,EQUITY
ISRG,Intuitive Surgical,Health Care,S&P 500,143766224896,401.27,1264377693.8,NMS,EQUITY
IVZ,Invesco,Financials,S&P 500,13924910080,31.54,158466422.0,NYQ,EQUITY
INVH,Invitation Homes,Real Estate,S&P 500,17690570752,29.78,134332517.4,NYQ,EQUITY
IQV,IQVIA,Health Care,S&P 500,39785467904,241.71,317121102.90000004,NYQ,EQUITY
IRM,Iron Mountain,Real Estate,S&P 500,37022322688,124.36,271614676.0,NYQ,EQUITY
JBHT,J.B. Hunt,Industrials,S&P 500,25912643584,275.96,222804584.79999998,NMS,EQUITY
JBL,Jabil,Information Technology,S&P 500,38368841728,366.16,406005531.20000005,NYQ,EQUITY
JKHY,Jack Henry & Associates,Financials,S&P 500,10821744640,152.31,130400206.5,NMS,EQUITY
J,Jacobs Solutions,Industrials,S&P 500,17165416448,145.37,132776596.9,NYQ,EQUITY
JNJ,Johnson & Johnson,Health Care,S&P 500,628646084608,260.86,1823839210.4,NYQ,EQUITY
JCI,Johnson Controls,Industrials,S&P 500,92551233536,152.79,561443661.9,NYQ,EQUITY
JPM,JPMorgan Chase,Financials,S&P 500,970716413952,365.18,2156351382.0,NYQ,EQUITY
KVUE,Kenvue,Consumer Staples,S&P 500,36456280064,18.98,416843884.6,NYQ,EQUITY
KDP,Keurig Dr Pepper,Consumer Staples,S&P 500,40226017280,29.56,411953776.4,NMS,EQUITY
KEY,KeyCorp,Financials,S&P 500,24538880000,22.89,196372165.5,NYQ,EQUITY
KEYS,Keysight Technologies,Information Technology,S&P 500,60582404096,354.5,355549320.0,NYQ,EQUITY
KMB,Kimberly-Clark,Consumer Staples,S&P 500,36158263296,108.93,459344738.40000004,NMS,EQUITY
KIM,Kimco Realty,Real Estate,S&P 500,16219686912,24.18,128199216.6,NYQ,EQUITY
KMI,Kinder Morgan,Energy,S&P 500,70593724416,31.73,282257705.3,NYQ,EQUITY
KKR,KKR & Co.,Financials,S&P 500,102426189824,110.9,642523548.0,NYQ,EQUITY
